row_number,variable_name,issue_type,current_value,details
138,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
139,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
140,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
141,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
142,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
143,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
144,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
145,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
146,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
147,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
148,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
149,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
150,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
151,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
152,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
153,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
154,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
155,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
156,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
157,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
158,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
159,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
160,NoOfFamilyMembers,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembers"""
121,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
122,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
123,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
124,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
125,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
126,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
127,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
128,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
129,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
130,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
131,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
132,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
133,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
134,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
135,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
136,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
137,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
138,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
139,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
140,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
141,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
142,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
143,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
144,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
145,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
146,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
147,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
148,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
149,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
150,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
151,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
152,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
153,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
154,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
155,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
156,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
157,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
158,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
159,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
160,NoOfFamilyMembersMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersMale"""
121,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
122,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
123,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
124,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
125,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
126,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
127,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
128,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
129,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
130,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
131,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
132,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
133,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
134,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
135,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
136,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
137,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
138,NoOfFamilyMembersFeMale,Missing Value,NaN,"Missing value in column ""NoOfFamilyMembersFeMale"""
