row_number,variable_name,issue_type,current_value,details,missing_category
111,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
112,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
115,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
116,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
118,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
119,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
120,DoYouDryTheClothINSun,Missing Value,NaN,"Missing value in column ""DoYouDryTheClothINSun""",conditional
6,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
7,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
10,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
11,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
16,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
17,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
18,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
19,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
20,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
22,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
28,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
29,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
40,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
45,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
52,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
54,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
56,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
58,FaceAnyProblemDuringWashingandDryingClothUsedForMensturation,Missing Value,NaN,"Missing value in column ""FaceAnyProblemDuringWashingandDryingClothUsedForMensturation""",conditional
